,District name,Households,Rural_Households,Urban_Households
569,Chikmagalur,392426.0,311660.0,80766.0
570,Tumkur,890242.0,685443.0,204799.0
571,Bangalore,3267960.0,300576.0,2967384.0
572,Mandya,562302.0,458867.0,103435.0
573,Hassan,628981.0,496103.0,132878.0
574,Dakshina Kannada,650292.0,332919.0,317373.0
575,Kodagu,212974.0,181182.0,31792.0
576,Mysore,920982.0,540596.0,380386.0
577,Chamarajanagar,319880.0,262680.0,57200.0
578,Gulbarga,600007.0,400704.0,199303.0
579,Yadgir,262995.0,207787.0,55208.0
580,Kolar,477609.0,326567.0,151042.0
581,Chikkaballapura,409702.0,315649.0,94053.0
582,Bangalore Rural,326462.0,231052.0,95410.0
583,Ramanagara,351784.0,266950.0,84834.0
584,North Goa,325089.0,115859.0,209230.0
585,South Goa,251493.0,88620.0,162873.0
586,Lakshadweep,21242.0,5289.0,15953.0
587,Kasaragod,417805.0,251641.0,166164.0
588,Kannur,872479.0,306288.0,566191.0
