,District,Total_Households,Households_Rural,Households_Urban,Households_Rural_Livable,Households_Urban_Livable,Households_Rural_Dilapidated,Households_Urban_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban_Toilet_Premise,Households_Total_Livable,Households_Total_Dilapidated,Households_Total_Toilet_Premise
156,Rae Bareli,778418.0,705025.0,73393.0,390584,25028,54992,3817,94474,52183,417233,59160,142451
157,Farrukhabad,411490.0,316647.0,94843.0,188722,43344,27232,4458,75679,77487,232492,32097,151429
158,Kannauj,365770.0,299785.0,65985.0,174775,28572,26382,3894,65054,49885,204100,30359,111926
159,Etawah,351126.0,265643.0,85483.0,145307,34621,20721,3591,52598,71293,180830,24579,119032
160,Auraiya,314274.0,255836.0,58438.0,141222,22558,23026,2338,52191,43946,164994,25771,92083
161,Kanpur Dehat,405256.0,363933.0,41323.0,206714,16323,30571,2439,83705,27398,223702,32826,109420
162,Kanpur Nagar,1049775.0,364869.0,684906.0,214543,265059,25176,32876,86110,583540,480797,58788,664508
163,Jalaun,396421.0,304856.0,91565.0,174683,37634,8841,3205,86275,69224,211689,12290,158172
164,Jhansi,504913.0,309592.0,195321.0,146747,64261,6192,3712,64086,139850,210044,9594,207520
165,Lalitpur,301832.0,258013.0,43819.0,136231,15863,6967,1140,30962,27563,152124,8150,58556
166,Hamirpur,311381.0,256081.0,55300.0,129321,20517,3842,885,64021,37992,149775,4671,102133
167,Mahoba,246823.0,198298.0,48525.0,100538,23632,3372,777,35298,26544,123906,4196,62940
168,Banda,445625.0,378056.0,67569.0,199992,23785,4159,1149,75612,49664,223704,5348,125221
169,Chitrakoot,230795.0,207237.0,23558.0,108800,11002,3731,637,24454,13829,119783,4386,38082
170,Fatehpur,636540.0,558807.0,77733.0,320756,31793,31852,3343,102262,56046,352644,35010,157226
171,Pratapgarh,752786.0,711085.0,41701.0,317855,13220,44799,1252,80353,26731,331226,45920,105391
172,Kaushambi,380620.0,349856.0,30764.0,193121,13198,15394,1354,48281,15813,206297,16748,63564
173,Allahabad,1248570.0,983266.0,265304.0,479834,80918,45231,7694,153390,222856,558111,52440,387057
174,Bara Banki,714908.0,635840.0,79068.0,323643,31232,75665,6958,83931,53609,356025,82930,130829
175,Faizabad,589666.0,510378.0,79288.0,262335,28623,47466,3886,74005,60418,290706,51301,133855
176,Ambedkar Nagar,566590.0,501559.0,65031.0,232724,27314,49655,6374,69717,35377,260065,56093,105386
177,Sultanpur,889628.0,839737.0,49891.0,418190,14818,72218,2196,110006,36371,434139,74729,144120
178,Bahraich,760262.0,698520.0,61742.0,430987,25932,60073,3520,73345,49085,457678,63863,119362
179,Shrawasti,257274.0,248770.0,8504.0,139809,3189,16917,851,25873,5358,143045,17752,30873
180,Balrampur,445838.0,410070.0,35768.0,232510,14487,27475,1467,41828,25718,247441,28980,66876
181,Gonda,726372.0,673578.0,52794.0,344199,17159,76115,2323,53213,40705,362460,79175,90797
182,Siddharthnagar,513513.0,480165.0,33348.0,215114,11806,31691,1735,49938,15641,226973,33379,65217
183,Basti,545025.0,513960.0,31065.0,207126,11091,51396,2113,67329,22398,218556,53413,89385
184,Sant Kabir Nagar,352151.0,324972.0,27179.0,141038,10301,33148,1740,39972,13508,151425,34863,52823
185,Mahrajganj,607079.0,573046.0,34033.0,294546,13375,50429,1974,95699,19876,308397,52816,114131
186,Gorakhpur,951128.0,761958.0,189170.0,356597,59778,67815,7000,141725,152093,416595,75140,291997
187,Kushinagar,785099.0,742324.0,42775.0,414960,16554,63098,4021,109864,26649,432590,66734,133467
188,Deoria,665706.0,597778.0,67928.0,277967,22824,50812,4484,99829,42388,301565,55254,141130
189,Azamgarh,971458.0,891024.0,80434.0,430365,30083,80193,3861,149693,51961,460472,84517,199149
190,Mau,451528.0,352207.0,99321.0,166242,43801,35573,6754,61989,63069,209961,42444,123719
191,Ballia,629381.0,564927.0,64454.0,269471,23268,72311,5995,125414,39317,293292,78044,163010
192,Jaunpur,1006670.0,926088.0,80582.0,426927,35859,66679,3546,142618,57858,463069,70467,199321
193,Ghazipur,761640.0,700173.0,61467.0,358489,23604,72818,4488,130233,40261,382344,77688,168323
194,Chandauli,395759.0,344937.0,50822.0,169020,18703,23456,2338,64849,35169,187986,26121,100128
195,Varanasi,755064.0,438935.0,316129.0,208934,113175,29409,11065,118952,281355,320148,40019,411510
196,Sant Ravidas Nagar (Bhadohi),339507.0,293510.0,45997.0,140005,20239,18198,2622,36983,25575,160248,20710,63828
197,Mirzapur,543115.0,465152.0,77963.0,240019,31731,22328,2729,89310,53405,272101,24984,142297
198,Sonbhadra,428088.0,337048.0,91040.0,188073,31318,6067,4279,46176,64366,222178,9847,103170
199,Etah,401998.0,334246.0,67752.0,189184,29405,23398,2101,30751,53050,219491,25728,79596
200,Kanshiram Nagar,343724.0,271234.0,72490.0,166809,36318,24140,3190,30379,55745,203829,27498,82494
201,Pashchim Champaran,936134.0,839514.0,96620.0,531413,50146,41137,7150,96545,52079,581340,48679,148846
202,Purba Champaran,1243825.0,1142260.0,101565.0,639666,43572,63967,5790,177051,54846,685348,69655,226377
203,Sheohar,166000.0,158484.0,7516.0,94457,3383,5389,602,31380,2774,97940,5976,33864
204,Sitamarhi,856964.0,807294.0,49670.0,473882,20763,50053,3229,150964,30051,496183,53132,178249
205,Madhubani,1088786.0,1047552.0,41234.0,532157,17607,49235,2928,181227,22885,549837,52262,201426
206,Supaul,600102.0,572287.0,27815.0,355391,14409,28043,2170,52079,13018,370263,30006,64812
207,Araria,703274.0,659061.0,44213.0,424436,21444,24386,2830,44158,24008,446579,26725,66108
208,Kishanganj,445150.0,401793.0,43357.0,249916,20118,14063,3426,24912,22503,270652,17361,46296
209,Purnia,798596.0,712847.0,85749.0,464064,39531,36356,8318,61305,50678,504713,43923,109408
210,Katihar,738070.0,668232.0,69838.0,414304,29542,33412,4959,84866,47840,445057,37642,129163
211,Madhepura,510278.0,486278.0,24000.0,311218,11016,30150,2088,54950,12312,322496,32148,66847
212,Saharsa,470697.0,432651.0,38046.0,278195,16398,28555,2816,54082,25720,295128,31537,78607
213,Darbhanga,1002713.0,907174.0,95539.0,478988,38216,73482,8599,189600,64012,517400,82223,251681
214,Muzaffarpur,1119394.0,998694.0,120700.0,603212,43694,83891,8208,218714,93060,650368,92910,303356
215,Gopalganj,554058.0,515925.0,38133.0,273957,15101,41274,2327,93383,19372,289773,43771,110812
216,Siwan,674372.0,632514.0,41858.0,294752,14400,51867,2554,127768,29887,310212,54625,154432
217,Saran,777622.0,701323.0,76299.0,360481,31665,61016,6028,124836,45017,393477,66876,166412
218,Vaishali,750811.0,699317.0,51494.0,397912,22967,86016,5459,174830,31927,421205,91599,204221
219,Samastipur,1056465.0,1012979.0,43486.0,599684,16786,98259,2827,172207,30528,618033,101421,198616
220,Begusarai,733625.0,594377.0,139248.0,339390,60573,68948,13647,151567,80347,400560,82900,229625
221,Khagaria,394703.0,373696.0,21007.0,219734,9937,33259,1513,81093,13928,230112,35129,93940
222,Bhagalpur,653161.0,522527.0,130634.0,307246,55912,45983,10059,131155,93665,365117,56172,220116
223,Banka,444096.0,425604.0,18492.0,257491,8673,28942,944,47243,8285,266902,29755,54624
224,Munger,308063.0,222281.0,85782.0,130257,33627,17561,5748,58016,63651,164814,23413,119529
225,Lakhisarai,207645.0,175882.0,31763.0,103595,16613,13543,2669,47137,19567,120227,16197,66032
226,Sheikhpura,132638.0,108293.0,24345.0,64976,10883,10180,1802,26316,12709,76267,12071,38333
227,Nalanda,616663.0,514141.0,102522.0,306429,42855,48844,7280,117225,75457,350265,56733,189316
228,Patna,1210094.0,657991.0,552103.0,384267,171152,59878,28710,181606,477570,563904,89547,641350
229,Bhojpur,511927.0,434559.0,77368.0,251176,31799,37807,6345,89085,53075,284120,44026,139245
230,Buxar,334657.0,299252.0,35405.0,169976,14021,31422,3116,59851,23793,184397,34470,82661
231,Kaimur (Bhabua),340442.0,325143.0,15299.0,196062,5126,21135,704,47146,10740,201542,21789,56854
232,Rohtas,608061.0,512383.0,95678.0,295645,39994,32793,5646,108113,65444,336258,38308,171474
233,Aurangabad,477297.0,428291.0,49006.0,247553,20142,28268,2647,73667,33325,268719,31025,104051
234,Gaya,807571.0,696289.0,111282.0,437270,40062,55007,5231,114888,86578,479698,60568,195433
235,Nawada,424874.0,379551.0,45323.0,236461,17994,39094,2901,65663,31409,255775,42063,94747
236,Jamui,356760.0,325909.0,30851.0,209234,15087,26073,2623,38784,15087,224759,28541,52801
237,Jehanabad,214792.0,186660.0,28132.0,114236,11028,16987,1942,41626,19046,125654,18902,59713
238,Arwal,144294.0,134334.0,9960.0,83153,5150,10479,608,30226,3885,88308,11111,34198
239,North  District,13609.0,11543.0,2066.0,5229,420,428,38,8658,2011,5812,477,10534
240,West District,33977.0,32091.0,1886.0,16559,291,2536,125,26989,1685,17057,2651,28643
241,South District,39298.0,31135.0,8163.0,14105,1249,1837,74,26434,7992,15916,2005,34150
242,East District,82138.0,40626.0,41512.0,16901,7639,3047,706,34858,39395,25135,3943,74007
243,Tawang,13182.0,10730.0,2452.0,5033,613,440,15,7447,2391,5695,462,9768
244,West Kameng,17889.0,17889.0,0.0,8641,0,448,0,6959,0,8373,466,8999
245,East Kameng,19718.0,14503.0,5215.0,8441,2467,378,131,3191,3338,10964,493,6350
246,Papum Pare,50488.0,20308.0,30180.0,8997,9477,813,1057,11129,27676,18479,1869,38775
247,Upper Subansiri,19214.0,14542.0,4672.0,9147,1799,364,57,5003,3976,11318,442,8224
248,West Siang,30775.0,22272.0,8503.0,9177,2551,179,179,15836,8129,11818,339,23759
249,East Siang,29021.0,19497.0,9524.0,5460,5372,293,410,9242,8639,10796,697,17848
250,Upper Siang,10751.0,8569.0,2182.0,2503,1037,35,25,4825,1750,3559,65,6602
251,Changlang,39920.0,33422.0,6498.0,16645,2489,569,52,21825,5933,19242,639,27545
252,Tirap,24920.0,18420.0,6500.0,7976,3068,185,98,15768,5974,10990,275,21656
253,Lower Subansiri,23477.0,18112.0,5365.0,7282,1315,272,38,12335,5285,8687,306,17420
254,Kurung Kumey,19695.0,18603.0,1092.0,8316,543,2326,56,4372,881,8824,2423,5023
255,Dibang Valley,3230.0,2055.0,1175.0,1022,574,148,66,1330,966,1596,217,2265
256,Lower Dibang Valley,15950.0,12000.0,3950.0,6324,1276,384,147,5760,3500,7736,527,8996
257,Lohit,44971.0,33599.0,11372.0,18178,5311,2016,410,16632,10144,23565,2429,26488
258,Anjaw,6453.0,6025.0,428.0,3182,293,362,0,1669,275,3440,375,1853
259,Mon,51022.0,43607.0,7415.0,27909,3612,611,416,27342,6985,31583,1021,34134
260,Mokokchung,55278.0,37536.0,17742.0,12800,5855,188,125,36148,17476,18684,332,53620
261,Zunheboto,37311.0,31267.0,6044.0,13821,2182,532,13,22419,5706,16007,560,28133
262,Wokha,46669.0,38499.0,8170.0,19866,1773,385,17,22907,7901,21468,421,31035
