,District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
349,Godda,276454.0,173337,25434,21840,15576.0,5732,655,10109
350,Sahibganj,223450.0,145466,16312,20558,37543.0,17458,2929,20386
351,Pakur,200588.0,120153,14242,14643,16587.0,7747,946,7713
352,Dhanbad,258764.0,135075,12162,31570,405455.0,180428,15813,240435
353,Bokaro,250312.0,125907,10263,16521,258452.0,94852,8271,162050
354,Lohardaga,96759.0,60475,2710,7064,14725.0,5331,648,10382
355,Purbi Singhbhum,262537.0,133894,15228,35706,342126.0,88269,7869,276096
356,Palamu,355529.0,223273,22399,26310,52375.0,21003,2829,30535
357,Latehar,146377.0,84899,3221,10540,14137.0,5740,707,7889
358,Hazaribagh,312983.0,151797,10329,29108,68765.0,22762,2063,50543
359,Ramgarh,134067.0,67168,5095,14748,118558.0,47187,4269,71135
360,Dumka,303697.0,194063,18222,18830,23281.0,7800,1165,14947
361,Jamtara,165555.0,103638,8113,7285,20113.0,6738,664,12088
362,Ranchi,420740.0,231407,12623,55538,310242.0,98657,12720,245402
363,Khunti,67860.0,39156,2308,2715,67860.0,25923,2036,36577
364,Gumla,216629.0,137127,6283,13865,16445.0,6315,823,11265
365,Simdega,144169.0,85925,4181,7065,11114.0,4446,445,5935
366,Pashchimi Singhbhum,336928.0,171497,13478,12467,63396.0,23774,2853,37341
367,Saraikela-Kharsawan,217248.0,116228,7821,13904,68439.0,25049,2327,44144
368,Bargarh,411566.0,275338,34984,50623,47395.0,22134,2228,25689
369,Jharsuguda,103224.0,73806,6091,9704,73962.0,33653,4142,39644
370,Sambalpur,220697.0,153826,17215,18980,94798.0,39057,4930,56405
371,Debagarh,91408.0,68556,12249,5394,7350.0,4580,405,3771
